Designator,Mid X,Mid Y,Rotation,Layer
R47,25.355,-75.2925,0.0,top
R49,28.265,-69.3225,0.0,top
R5,19.535,-73.3025,0.0,top
R50,28.265,-71.3125,0.0,top
R51,28.265,-73.3025,0.0,top
R53,28.265,-75.2925,0.0,top
SW1,40.15,-123.9,270.0,bottom
U1,63.15,-121.1875,0.0,bottom
U10,113.77,-71.385,180.0,top
U11,60.85,-111.25,0.0,top
U12,60.3,-109.5,180.0,bottom
U13,66.86,-109.145,270.0,top
U14,60.55,-106.27,0.0,bottom
U15,75.9,-121.85,65.0,top
U16,73.55,-124.25,25.0,top
U17,52.65315,-124.208149,335.0,top
U18,50.25,-121.85,25.0,top
U2,32.3,-102.9,0.0,bottom
U24,80.07,-118.3,180.0,bottom
U25,79.95,-104.55,180.0,bottom
U26,78.115,-111.285,90.0,top
U27,76.9,-108.9,180.0,bottom
U28,76.01,-114.75,180.0,bottom
U3,50.25,-100.95,245.0,top
U30,124.355,-88.14,0.0,top
U31,118.89,-88.185,0.0,top
U4,52.65,-98.55,295.0,top
U5,73.541851,-98.55315,155.0,top
U6,61.55,-113.1,180.0,bottom
U7,67.5,-106.6,270.0,bottom
U8,75.95,-100.95,205.0,top
U9,113.77,-67.185,180.0,top
USB1,54.85,-111.45,90.0,bottom
