Designator,Mid X,Mid Y,Rotation,Layer
C1,73.14,-106.21,180.0,top
C11,73.3,-105.75,270.0,bottom
C111,67.35,-113.18,180.0,bottom
C12,71.6,-98.86,325.0,bottom
C13,76.08,-102.74,300.0,bottom
C14,73.1675,-115.9,180.0,bottom
C16,61.1,-107.75,0.0,bottom
C17,74.2375,-114.7,270.0,bottom
C18,54.53,-98.79,215.0,bottom
C19,50.19,-102.5,235.0,bottom
C2,68.54,-100.83,270.0,bottom
C3,66.83,-109.151,0.0,bottom
C32,62.62,-105.52,270.0,bottom
C33,58.965,-117.42,90.0,bottom
C34,67.06,-117.54,90.0,bottom
C35,69.475,-120.625,180.0,bottom
C36,71.925,-123.35,145.0,top
C37,55.15,-104.25,180.0,bottom
C38,66.5,-120.45,180.0,bottom
C39,58.59,-108.12,90.0,bottom
C4,70.6875,-114.8,90.0,top
C40,52.225,-103.95,180.0,bottom
C41,62.985,-117.515,90.0,bottom
C43,62.235,-117.515,90.0,bottom
C45,58.81,-114.81,90.0,bottom
C46,54.5,-124.13,145.0,bottom
C47,49.95,-120.65,125.0,bottom
C48,57.6,-109.0,90.0,bottom
C49,63.12,-106.95,0.0,bottom
C5,71.5075,-115.98,180.0,top
C50,69.4975,-115.725,270.0,bottom
C51,70.2875,-115.73,270.0,bottom
C52,74.61,-108.04,90.0,bottom
C53,71.5325,-107.67,90.0,bottom
C55,71.0275,-115.09,270.0,bottom
C56,71.7975,-115.09,270.0,bottom
C57,75.91,-119.8,55.0,bottom
C58,72.175,-124.525,35.0,bottom
C59,70.675,-108.375,0.0,top
C6,73.3975,-114.78,90.0,top
C60,74.79,-109.86,270.0,top
C61,70.4,-100.84,90.0,bottom
C63,66.86,-107.53,180.0,bottom
C64,63.13,-107.79,180.0,bottom
C67,55.885,-107.895,90.0,top
C68,55.085,-107.895,90.0,top
C7,73.14,-105.44,0.0,top
C70,59.835,-104.68,90.0,top
C71,55.485,-104.715,180.0,top
C72,67.68,-110.11,0.0,top
C73,67.685,-110.865,180.0,top
C74,67.685,-111.715,0.0,bottom
C75,61.13,-117.0,270.0,top
C76,61.335,-104.67,90.0,top
C77,55.085,-106.065,270.0,top
C78,67.685,-111.715,0.0,top
C79,55.435,-109.415,180.0,top
C8,69.5375,-113.69,270.0,top
C80,62.96,-117.04,270.0,top
C81,59.31,-117.02,270.0,top
C82,67.58,-106.27,0.0,top
C83,67.25,-112.975,90.0,top
C84,62.06,-104.67,90.0,top
C85,56.735,-104.865,90.0,top
C86,68.09,-112.97,90.0,top
C87,67.44,-118.58,0.0,top
C9,74.5,-107.755,270.0,top
D1,53.45,-105.45,90.0,top
