Designator,Mid X,Mid Y,Rotation,Layer
RF1,73.0075,-106.28,270.0,top
U1,60.0,-121.2075,0.0,bottom
U10,62.25,-109.35,90.0,bottom
U12,73.6625,-115.2525,180.0,bottom
U13,61.2,-102.4625,90.0,top
U14,58.2,-109.9,270.0,bottom
U15,52.49685,-124.341851,65.0,top
U16,50.20315,-122.041851,115.0,top
U17,73.643149,-124.291851,205.0,top
U18,76.013149,-122.118149,155.0,top
U19,75.21,-114.83,270.0,top
U2,72.13,-110.855,0.0,bottom
U20,72.3275,-110.58,90.0,top
U21,58.3475,-106.305,180.0,bottom
U22,73.731619,-98.46386,295.0,bottom
U23,76.058149,-100.803149,245.0,bottom
U24,52.436852,-98.495552,65.0,bottom
U25,50.10315,-100.758149,115.0,bottom
U26,52.49811,-124.338377,25.0,bottom
U27,50.203756,-122.038249,335.0,bottom
U28,73.641851,-124.296851,245.0,bottom
U29,76.01,-122.11,295.0,bottom
U3,73.733838,-98.468524,155.0,top
U30,58.5,-112.75,0.0,bottom
U32,62.3625,-109.5,90.0,top
U33,54.51,-108.4,0.0,top
U34,58.7,-103.12,270.0,top
U35,56.2025,-116.74,180.0,top
U4,76.058149,-100.803149,205.0,top
U5,52.441851,-98.49685,25.0,top
U6,67.24,-119.14,180.0,bottom
U7,62.27,-115.42,90.0,bottom
U8,50.10315,-100.758149,335.0,top
U9,67.45,-113.77,180.0,top
USB2,53.38,-113.9,90.0,bottom
X3,62.1675,-116.375,90.0,top
