Designator,Mid X,Mid Y,Rotation,Layer
AE1,76.105,-116.755,90.0,bottom
C1,73.25,-106.505,270.0,bottom
C11,71.35,-108.985,90.0,top
C110,60.04,-109.76,270.0,bottom
C111,65.72,-116.95,0.0,bottom
C12,72.15,-105.555,90.0,top
C13,73.0,-105.555,90.0,top
C14,73.3,-114.15,180.0,bottom
C15,59.35,-110.55,90.0,top
C17,73.8,-115.55,90.0,bottom
C18,77.15,-105.575,90.0,top
C19,73.85,-105.555,270.0,top
C2,68.94,-113.35,0.0,top
C20,63.85,-116.82,270.0,top
C21,65.91,-106.49,0.0,top
C22,67.74,-106.47,0.0,top
C23,69.39,-108.67,90.0,top
C24,76.5,-113.255,270.0,top
C25,68.94,-112.5,0.0,top
C26,69.14,-106.87,90.0,top
C27,64.05,-107.3,0.0,top
C28,67.3,-116.8,270.0,top
C29,59.3,-112.8,270.0,top
C3,63.34,-108.45,270.0,bottom
C30,62.14,-116.82,270.0,top
C31,59.35,-108.75,90.0,top
C32,60.69,-117.17,270.0,bottom
C33,60.69,-115.32,270.0,bottom
C34,58.68,-114.27,180.0,bottom
C35,69.29,-122.05,270.0,bottom
C36,65.25,-123.17,270.0,bottom
C37,56.92,-103.8125,180.0,bottom
C38,64.75,-119.35,270.0,bottom
C39,58.24,-108.25,90.0,bottom
C4,59.1,-109.75,270.0,bottom
C40,53.29,-108.3525,180.0,bottom
C41,57.4,-110.7,90.0,bottom
C42,68.95,-111.65,0.0,top
C5,77.15,-111.255,270.0,bottom
C6,65.91,-107.34,0.0,top
C7,74.05,-106.505,90.0,bottom
C8,74.8,-113.25,270.0,bottom
C9,72.4,-106.505,270.0,bottom
D1,57.3,-113.9,180.0,top
D20,54.83,-103.7,270.0,bottom
D21,64.03,-104.45,0.0,bottom
D23,57.14,-115.91,270.0,bottom
D3,57.3,-109.95,180.0,top
D4,57.2875,-111.25,180.0,top
D5,57.3,-112.55,180.0,top
D6,57.3,-115.25,180.0,top
D7,71.2,-107.105,270.0,bottom
FL1,73.75,-117.4075,270.0,bottom
J1,69.15,-99.65,270.0,top
J13,56.05,-102.45,90.0,top
J14,57.8,-102.45,90.0,top
J15,59.55,-102.45,90.0,top
J16,70.1,-102.55,270.0,top
J17,68.35,-102.55,270.0,top
J18,66.6,-102.55,270.0,top
J19,70.15,-123.25,270.0,top
J2,67.4,-99.65,270.0,top
J20,68.4,-123.25,270.0,top
J21,66.65,-123.25,270.0,top
J22,57.0,-120.4,90.0,top
J23,58.77,-120.4,90.0,top
J24,62.15,-99.65,270.0,top
J25,60.4,-99.65,270.0,top
J26,58.65,-99.65,270.0,top
J27,56.9,-99.65,270.0,top
J28,64.9,-123.25,270.0,top
J29,63.15,-123.25,270.0,top
J3,65.65,-99.65,270.0,top
J30,60.5,-120.4,90.0,top
J31,76.75,-115.25,270.0,top
J32,73.25,-115.25,90.0,top
J33,71.5,-115.25,90.0,top
J34,75.0,-115.25,270.0,top
J35,61.4,-123.25,270.0,top
J36,59.65,-123.25,270.0,top
J37,57.9,-123.25,270.0,top
J38,56.15,-123.25,270.0,top
J39,56.7,-105.45,90.0,top
J4,63.9,-99.65,270.0,top
J40,58.5,-105.45,90.0,top
J41,64.0,-120.4,90.0,top
J42,65.75,-120.4,90.0,top
J43,67.5,-120.4,90.0,top
J44,69.25,-120.4,90.0,top
J45,51.25,-110.05,180.0,top
J46,51.25,-108.3,180.0,top
J47,51.25,-106.55,180.0,top
J48,51.25,-104.8,180.0,top
J5,51.25,-116.35,0.0,top
J53,62.25,-120.4,90.0,top
J56,62.15,-105.45,90.0,top
J59,71.5,-115.25,270.0,bottom
J6,51.25,-118.1,0.0,top
J7,51.25,-114.6,180.0,top
J8,51.25,-112.85,180.0,top
J9,60.3,-105.45,90.0,top
L1,72.85,-115.55,270.0,bottom
L2,65.86,-105.13,0.0,top
L3,67.0,-119.0,90.0,bottom
L4,53.65,-106.0125,0.0,bottom
L8,71.35,-107.305,270.0,top
P1,63.06,-101.0875,180.0,bottom
Q7,57.13,-117.01,90.0,bottom
R11,68.94,-109.97,180.0,top
R13,58.74,-117.06,0.0,bottom
R14,69.03,-119.46,90.0,bottom
R15,58.75,-115.24,180.0,bottom
R16,51.55,-106.64,270.0,bottom
R17,56.46,-108.55,270.0,bottom
R18,64.03,-106.43,180.0,top
R19,67.77,-107.32,180.0,top
R20,68.49,-108.67,270.0,top
R21,62.99,-116.82,90.0,top
R22,58.75,-116.14,0.0,bottom
R23,65.54,-116.81,90.0,top
R24,66.39,-116.81,90.0,top
R25,64.69,-116.81,90.0,top
R26,59.84,-104.51,0.0,bottom
R28,69.92,-119.46,90.0,bottom
R29,57.35,-114.35,90.0,bottom
R3,57.35,-108.9,270.0,bottom
R31,51.55,-104.75,90.0,bottom
R33,71.05,-109.45,270.0,bottom
R35,74.45,-113.255,270.0,top
R4,57.35,-112.51,270.0,bottom
R44,53.21,-118.62,0.0,bottom
R45,56.53,-118.28,90.0,bottom
R5,58.95,-117.96,0.0,bottom
R50,68.94,-110.82,180.0,top
R6,71.35,-110.8,270.0,top
R7,71.3,-105.555,90.0,top
R8,75.55,-113.255,90.0,top
R9,71.05,-111.35,90.0,bottom
U1,60.08,-121.2075,0.0,bottom
U10,60.29,-106.95,270.0,bottom
U14,59.09,-112.24,270.0,bottom
U15,50.216851,-121.948149,205.0,top
U16,52.581851,-124.283149,155.0,top
U17,73.558149,-124.273149,205.0,top
U18,75.933149,-121.948149,155.0,top
U19,74.72,-109.455,90.0,top
U2,64.15,-111.66,270.0,bottom
U20,74.2,-109.905,0.0,bottom
U22,75.91685,-100.958149,65.0,bottom
U23,73.571851,-98.613149,115.0,bottom
U24,52.56315,-98.581851,65.0,bottom
U25,50.223149,-100.948149,115.0,bottom
U26,50.213653,-121.95,245.0,bottom
U27,52.58,-124.28,295.0,bottom
U28,73.556851,-124.278149,245.0,bottom
U29,75.93,-121.94,295.0,bottom
U3,75.911851,-100.956851,25.0,top
U30,65.7,-115.33,180.0,bottom
U32,63.94,-111.84,90.0,top
U33,62.89,-116.12,270.0,bottom
U34,56.28,-100.66,90.0,bottom
U4,73.571851,-98.613149,335.0,top
U5,52.568149,-98.583149,25.0,top
U6,66.995,-122.42,0.0,bottom
U7,57.08,-106.0175,270.0,bottom
U8,50.223149,-100.948149,335.0,top
U9,63.35,-106.84,270.0,bottom
USB2,53.43,-113.76,90.0,bottom
X1,75.5,-105.505,180.0,top
X2,75.82,-106.385,0.0,bottom
